Year,AGE,SEX,POP
1851,0-4,Female,15863
1851,5-9,Female,13918
1851,10-14,Female,13040
1851,15-19,Female,14363
1851,20-24,Female,15752
1851,25-29,Female,13607
1851,30-34,Female,11069
1851,35-39,Female,9240
1851,40-44,Female,8376
1851,45-49,Female,6768
1851,50-54,Female,6396
1851,55-59,Female,4335
1851,60-64,Female,3876
1851,65-69,Female,2624
1851,70+,Female,3591
1851,0-4,Male,16137
1851,5-9,Male,14290
1851,10-14,Male,13632
1851,15-19,Male,12677
1851,20-24,Male,12522
1851,25-29,Male,10403
1851,30-34,Male,8438
1851,35-39,Male,7268
1851,40-44,Male,6380
1851,45-49,Male,5138
1851,50-54,Male,4636
1851,55-59,Male,3133
1851,60-64,Male,2643
1851,65-69,Male,1749
1851,70+,Male,2266
1861,0-4,Female,16895
1861,5-9,Female,14559
1861,10-14,Female,12951
1861,15-19,Female,14626
1861,20-24,Female,15340
1861,25-29,Female,13306
1861,30-34,Female,10988
1861,35-39,Female,9540
1861,40-44,Female,8654
1861,45-49,Female,7312
1861,50-54,Female,6472
1861,55-59,Female,5080
1861,60-64,Female,4927
1861,65-69,Female,2973
1861,70+,Female,4087
1861,0-4,Male,17461
1861,5-9,Male,15053
1861,10-14,Male,13607
1861,15-19,Male,12943
1861,20-24,Male,12929
1861,25-29,Male,9829
1861,30-34,Male,8373
1861,35-39,Male,7441
1861,40-44,Male,6679
1861,45-49,Male,5576
1861,50-54,Male,4775
1861,55-59,Male,3558
1861,60-64,Male,3198
1861,65-69,Male,1864
1861,70+,Male,2382
1871,0-4,Female,21256
1871,5-9,Female,18123
1871,10-14,Female,16058
1871,15-19,Female,16867
1871,20-24,Female,17234
1871,25-29,Female,15709
1871,30-34,Female,12970
1871,35-39,Female,10906
1871,40-44,Female,9711
1871,45-49,Female,8205
1871,50-54,Female,7340
1871,55-59,Female,5855
1871,60-64,Female,5292
1871,65-69,Female,3592
1871,70+,Female,5217
1871,0-4,Male,21776
1871,5-9,Male,18219
1871,10-14,Male,16777
1871,15-19,Male,15884
1871,20-24,Male,14916
1871,25-29,Male,13047
1871,30-34,Male,11181
1871,35-39,Male,8789
1871,40-44,Male,7647
1871,45-49,Male,6514
1871,50-54,Male,5497
1871,55-59,Male,4176
1871,60-64,Male,3577
1871,65-69,Male,2353
1871,70+,Male,2798
1881,0-4,Female,25182
1881,5-9,Female,22142
1881,10-14,Female,19318
1881,15-19,Female,20236
1881,20-24,Female,20224
1881,25-29,Female,18383
1881,30-34,Female,14628
1881,35-39,Female,13061
1881,40-44,Female,11520
1881,45-49,Female,9652
1881,50-54,Female,8189
1881,55-59,Female,6534
1881,60-64,Female,5921
1881,65-69,Female,4233
1881,70+,Female,5865
1881,0-4,Male,26064
1881,5-9,Male,22073
1881,10-14,Male,19937
1881,15-19,Male,18775
1881,20-24,Male,18462
1881,25-29,Male,16108
1881,30-34,Male,12624
1881,35-39,Male,11151
1881,40-44,Male,9978
1881,45-49,Male,7773
1881,50-54,Male,6230
1881,55-59,Male,5016
1881,60-64,Male,3990
1881,65-69,Male,2623
1881,70+,Male,3244
1891,0-4,Female,24877
1891,5-9,Female,23889
1891,10-14,Female,22765
1891,15-19,Female,23332
1891,20-24,Female,22622
1891,25-29,Female,20352
1891,30-34,Female,16482
1891,35-39,Female,14441
1891,40-44,Female,12482
1891,45-49,Female,11307
1891,50-54,Female,9710
1891,55-59,Female,7416
1891,60-64,Female,6519
1891,65-69,Female,4693
1891,70+,Female,6916
1891,0-4,Male,25752
1891,5-9,Male,24507
1891,10-14,Male,23598
1891,15-19,Male,21775
1891,20-24,Male,20014
1891,25-29,Male,16850
1891,30-34,Male,14365
1891,35-39,Male,12670
1891,40-44,Male,10624
1891,45-49,Male,9197
1891,50-54,Male,7783
1891,55-59,Male,5702
1891,60-64,Male,4451
1891,65-69,Male,3138
1891,70+,Male,3791
1901,0-4,Female,25916
1901,5-9,Female,24096
1901,10-14,Female,23687
1901,15-19,Female,25901
1901,20-24,Female,27410
1901,25-29,Female,24644
1901,30-34,Female,19582
1901,35-39,Female,17481
1901,40-44,Female,14640
1901,45-49,Female,12931
1901,50-54,Female,10951
1901,55-59,Female,8984
1901,60-64,Female,7718
1901,65-69,Female,5310
1901,70+,Female,7667
1901,0-4,Male,26572
1901,5-9,Male,24604
1901,10-14,Male,24218
1901,15-19,Male,23723
1901,20-24,Male,23178
1901,25-29,Male,20344
1901,30-34,Male,16995
1901,35-39,Male,15150
1901,40-44,Male,12922
1901,45-49,Male,11134
1901,50-54,Male,9074
1901,55-59,Male,7213
1901,60-64,Male,5731
1901,65-69,Male,3619
1901,70+,Male,4207
2011,0-4,Female,12929
2011,5-9,Female,9824
2011,10-14,Female,10172
2011,15-19,Female,14196
2011,20-24,Female,24914
2011,25-29,Female,23205
2011,30-34,Female,19076
2011,35-39,Female,16615
2011,40-44,Female,16188
2011,45-49,Female,16412
2011,50-54,Female,15176
2011,55-59,Female,12689
2011,60-64,Female,12858
2011,65-69,Female,9611
2011,70+,Female,30397
2011,0-4,Male,13234
2011,5-9,Male,10670
2011,10-14,Male,10890
2011,15-19,Male,14333
2011,20-24,Male,22908
2011,25-29,Male,22119
2011,30-34,Male,19457
2011,35-39,Male,17480
2011,40-44,Male,16593
2011,45-49,Male,16505
2011,50-54,Male,14718
2011,55-59,Male,12775
2011,60-64,Male,12203
2011,65-69,Male,8516
2011,70+,Male,19963
2001,0-4,Female,10817
2001,5-9,Female,11152
2001,10-14,Female,11435
2001,15-19,Female,13915
2001,20-24,Female,21444
2001,25-29,Female,19574
2001,30-34,Female,19177
2001,35-39,Female,18254
2001,40-44,Female,16432
2001,45-49,Female,13554
2001,50-54,Female,14614
2001,55-59,Female,11101
2001,60-64,Female,10542
2001,65-69,Female,10293
2001,70+,Female,31609
2001,0-4,Male,11353
2001,5-9,Male,11834
2001,10-14,Male,11940
2001,15-19,Male,13653
2001,20-24,Male,20265
2001,25-29,Male,18676
2001,30-34,Male,19166
2001,35-39,Male,17367
2001,40-44,Male,15735
2001,45-49,Male,13886
2001,50-54,Male,13932
2001,55-59,Male,10378
2001,60-64,Male,9338
2001,65-69,Male,8573
2001,70+,Male,18615
1921,0-4,Female,17000
1921,5-9,Female,17500
1921,10-14,Female,19500
1921,15-19,Female,20000
1921,20-24,Female,22000
1921,25-29,Female,19000
1921,30-34,Female,17000
1921,35-39,Female,16500
1921,40-44,Female,16000
1921,45-49,Female,15000
1921,50-54,Female,12500
1921,55-59,Female,10500
1921,60-64,Female,8000
1921,65-69,Female,6500
1921,70+,Female,10000
1921,0-4,Male,16000
1921,5-9,Male,17500
1921,10-14,Male,19500
1921,15-19,Male,19000
1921,20-24,Male,17500
1921,25-29,Male,15000
1921,30-34,Male,13000
1921,35-39,Male,12500
1921,40-44,Male,13000
1921,45-49,Male,13000
1921,50-54,Male,11000
1921,55-59,Male,8000
1921,60-64,Male,6000
1921,65-69,Male,5000
1921,70+,Male,7000
1931,0-4,Female,16000
1931,5-9,Female,17500
1931,10-14,Female,16000
1931,15-19,Female,21000
1931,20-24,Female,23000
1931,25-29,Female,20500
1931,30-34,Female,17500
1931,35-39,Female,16000
1931,40-44,Female,15500
1931,45-49,Female,15500
1931,50-54,Female,14500
1931,55-59,Female,13000
1931,60-64,Female,10500
1931,65-69,Female,8000
1931,70+,Female,12000
1931,0-4,Male,16000
1931,5-9,Male,17500
1931,10-14,Male,15500
1931,15-19,Male,17500
1931,20-24,Male,18500
1931,25-29,Male,17500
1931,30-34,Male,14500
1931,35-39,Male,13000
1931,40-44,Male,12000
1931,45-49,Male,12000
1931,50-54,Male,12500
1931,55-59,Male,10000
1931,60-64,Male,8500
1931,65-69,Male,6000
1931,70+,Male,8000
1951,0-4,Female,19500
1951,5-9,Female,15500
1951,10-14,Female,15500
1951,15-19,Female,16000
1951,20-24,Female,17500
1951,25-29,Female,17500
1951,30-34,Female,16000
1951,35-39,Female,18000
1951,40-44,Female,19000
1951,45-49,Female,18000
1951,50-54,Female,17000
1951,55-59,Female,15000
1951,60-64,Female,13500
1951,65-69,Female,12500
1951,70+,Female,22000
1951,0-4,Male,20000
1951,5-9,Male,15500
1951,10-14,Male,15500
1951,15-19,Male,14500
1951,20-24,Male,14500
1951,25-29,Male,17000
1951,30-34,Male,15000
1951,35-39,Male,16000
1951,40-44,Male,17000
1951,45-49,Male,16000
1951,50-54,Male,13000
1951,55-59,Male,11000
1951,60-64,Male,9000
1951,65-69,Male,7500
1951,70+,Male,13000
1991,0-4,Female,12099
1991,5-9,Female,10822
1991,10-14,Female,10131
1991,15-19,Female,11971
1991,20-24,Female,18544
1991,25-29,Female,19891
1991,30-34,Female,17360
1991,35-39,Female,14246
1991,40-44,Female,14954
1991,45-49,Female,11934
1991,50-54,Female,11695
1991,55-59,Female,11629
1991,60-64,Female,12248
1991,65-69,Female,11764
1991,70+,Female,32658
1991,0-4,Male,12518
1991,5-9,Male,11353
1991,10-14,Male,10469
1991,15-19,Male,11932
1991,20-24,Male,17234
1991,25-29,Male,18742
1991,30-34,Male,16826
1991,35-39,Male,14166
1991,40-44,Male,14501
1991,45-49,Male,11248
1991,50-54,Male,10741
1991,55-59,Male,10650
1991,60-64,Male,10255
1991,65-69,Male,9542
1991,70+,Male,16625
